origin,destination,euclidean,nb_0.1_paths,nb_0.2_paths,nb_0.3_paths,nb_0.4_paths,nb_0.5_paths,nb_0.6_paths,nb_0.7_paths,nb_0.8_paths,nb_0.9_paths,nb_1.0_paths,nb_paths
30988257,579956039#2,1.4793055168352822,8.0,8.0,10.0,24.0,31.0,39.0,39.0,41.0,54.0,61.0,61
-27606526#4,25196030#0,1.6846648390644914,8.0,21.0,62.0,135.0,273.0,441.0,659.0,926.0,1190.0,1409.0,2617
29189452#0-AddedOffRampEdge,28479693#0,6.4064376448741935,86.0,727.0,2186.0,4321.0,6644.0,8653.0,10384.0,11851.0,12935.0,13717.0,14966
-29072306#1,386635692,2.520523083619924,23.0,63.0,114.0,211.0,349.0,433.0,449.0,472.0,493.0,503.0,503
-656533259,295993551,1.929251852053572,2.0,4.0,6.0,9.0,14.0,16.0,20.0,20.0,22.0,22.0,60
1081066600#0,25164982#0,1.6921564995045013,4.0,12.0,14.0,27.0,45.0,63.0,86.0,107.0,139.0,226.0,1365
-168436709,503405666,5.527796483561789,513.0,1819.0,3565.0,6630.0,9110.0,9629.0,9720.0,9759.0,9762.0,9763.0,9763
181202156#0,24880750#0,1.87616030778526,6.0,14.0,19.0,24.0,42.0,106.0,200.0,288.0,348.0,363.0,461
348439788#0,304204461,1.9190830926995728,0.0,2.0,4.0,4.0,12.0,12.0,14.0,18.0,20.0,24.0,28
309769500#1,28905432#0,3.9135007312705152,338.0,1890.0,4281.0,6616.0,8537.0,9959.0,10895.0,11350.0,11513.0,11552.0,11561
29189453,30270857#0,1.909639575232904,4.0,4.0,20.0,77.0,110.0,173.0,312.0,501.0,752.0,944.0,2105
29189452#0-AddedOffRampEdge,128984786#0,2.1431628290842832,4.0,12.0,43.0,68.0,135.0,191.0,236.0,295.0,381.0,491.0,1297
