origin,destination,euclidean,nb_0.1_paths,nb_0.2_paths,nb_0.3_paths,nb_0.4_paths,nb_0.5_paths,nb_0.6_paths,nb_0.7_paths,nb_0.8_paths,nb_0.9_paths,nb_1.0_paths,nb_paths,theta
24492702#0,183876914#0,0.7301025648485768,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,0.1468381876291381
-306799128,275209595#0,1.910755814241164,71.0,203.0,541.0,1001.0,1659.0,2625.0,3298.0,3700.0,4013.0,4452.0,5655,0.3234922475794414
41773063#0,168773907#0,0.7084404288643349,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,0.1411955251841683
240289096,277216237,2.7667944266615243,91.0,436.0,1072.0,1876.0,2829.0,3733.0,4537.0,5188.0,5735.0,6284.0,9635,0.37785949495169946
25941521#3,-52045188#2,11.85577211002771,2.0,59.0,350.0,1000.0,1956.0,2935.0,3874.0,4727.0,5583.0,6435.0,10000,0.369012116527719
204049387#0,23729246#0,1.901776036560761,80.0,357.0,685.0,1228.0,2024.0,2536.0,2954.0,3404.0,3850.0,4236.0,7811,0.5388324583521252
353018598,-93470258#6,22.096983199543928,1.0,1.0,6.0,90.0,381.0,988.0,1938.0,3163.0,4530.0,5811.0,10001,0.6669025227060508
43061361,-40012050#1,1.352773194489901,6.0,91.0,481.0,1446.0,2749.0,4000.0,4859.0,5347.0,5545.0,5644.0,5694,0.37289391065541816
-218777681#1,378108605,18.062444655088296,1.0,2.0,28.0,265.0,1152.0,2768.0,4575.0,6356.0,7777.0,8816.0,10001,0.6267933256477389
252418522#0,8154591#0,4.546363687797828,84.0,339.0,655.0,1119.0,1722.0,2420.0,3191.0,3985.0,4800.0,5604.0,9997,0.6542757028173202
274977514#0,7980623#0,2.034314616439356,0.0,223.0,1148.0,2825.0,4635.0,6194.0,7332.0,8099.0,8627.0,9046.0,9791,0.6365067093091727
-140425776,231090808#0,1.6173350594926612,231.0,1232.0,2925.0,4416.0,5335.0,5989.0,6415.0,6626.0,6726.0,6766.0,6786,0.08493343516122437
