,origin,destination,euclidean,nb_paths,nb_0.1_paths,nb_0.2_paths,nb_0.3_paths,nb_0.4_paths,nb_0.5_paths,nb_0.6_paths,nb_0.7_paths,nb_0.8_paths,nb_0.9_paths,nb_1.0_paths
626,-145124411#14,-169015342#1,1.965135990319372,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
627,-468395549,169464948#0,2.92522909084127,9650,169.0,430.0,759.0,998.0,1250.0,1364.0,1080.0,1039.0,787.0,610.0
628,353028462#0,243051429#0,0.850226459167587,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
629,1121052978,274928868-AddedOffRampEdge,2.092539809838727,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
630,-900439225#2,343973644#11,19.36071001632705,10001,1.0,0.0,12.0,183.0,843.0,1511.0,1993.0,2003.0,1510.0,1051.0
631,-275518489#2,172431735#0,17.28717496115695,10001,1.0,1.0,22.0,136.0,407.0,657.0,964.0,1186.0,1235.0,1205.0
632,912309235,27655535#0-AddedOffRampEdge,20.95192913600115,9980,3.0,82.0,462.0,774.0,838.0,911.0,912.0,971.0,890.0,921.0
633,-565727007#2,250328448,19.067267596884204,10001,2.0,13.0,203.0,836.0,1933.0,2512.0,2162.0,1341.0,666.0,225.0
634,52844797,30637122,2.549392189545845,3746,115.0,204.0,331.0,491.0,529.0,488.0,398.0,252.0,152.0,106.0
635,-272560944#1,204910485#0,9.33290375889171,9998,8.0,44.0,205.0,573.0,1026.0,1232.0,1235.0,1156.0,1047.0,930.0
636,16736173,-24959487#5,3.82298502405624,8831,0.0,42.0,1491.0,2005.0,2108.0,1513.0,930.0,482.0,199.0,48.0
637,-274734453,172813227#0,4.481795938484538,9756,303.0,712.0,942.0,1137.0,1536.0,1499.0,1199.0,848.0,599.0,357.0
638,394316203,-172431730,1.452865134550209,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
639,4969364,-623182790#4,2.0030444934962133,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
640,244564998,266553270,9.426262364613624,9806,16.0,159.0,737.0,1515.0,2002.0,1769.0,1173.0,858.0,582.0,414.0
641,24049645,56233333,10.41737726807788,10001,1.0,21.0,168.0,503.0,956.0,1215.0,1376.0,1333.0,1266.0,1052.0
642,14581116#2,-832193661#2,3.083497875271439,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
643,1092670933,528937140#0,7.748812722886882,10001,4.0,16.0,49.0,154.0,368.0,582.0,960.0,1337.0,1466.0,1382.0
644,-270375505,34761131#3,12.287890947292302,10001,4.0,45.0,274.0,688.0,1141.0,1533.0,1585.0,1526.0,1180.0,825.0
645,379943852,22884387#1,1.3741650439594295,1828,6.0,36.0,75.0,91.0,102.0,116.0,147.0,170.0,236.0,259.0
646,244949437#0,201508721#1,2.579870083932553,6938,194.0,938.0,1240.0,1601.0,1745.0,852.0,289.0,54.0,21.0,4.0
647,290130630#0,-577584841,10.881364059483062,10001,9.0,122.0,314.0,477.0,667.0,869.0,1154.0,1280.0,1341.0,1127.0
648,172345941,168717225,0.8034487667890545,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
649,56234098#0,248637522#6,20.0067756370316,10001,1.0,2.0,76.0,443.0,1077.0,1475.0,1531.0,1437.0,1197.0,829.0
650,266311566#0,-59310707,7.177483624802966,9365,276.0,1118.0,1601.0,1319.0,909.0,862.0,869.0,871.0,594.0,394.0
651,1036789795,-172410734#4,1.7589940936392607,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
652,957107410,264627771,2.5433442182718826,506,15.0,27.0,41.0,52.0,35.0,19.0,26.0,14.0,22.0,28.0
653,166265588#0,-45336762#2,4.0597631152325615,9594,78.0,339.0,518.0,684.0,778.0,1012.0,1160.0,1154.0,1003.0,802.0
